Kunden-ID,Region,Typ,,,Hilfszahl-Region,Hilfszahl-Typ,
1,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
2,Europa,Privatkunde,,,6,23,Privatkunde
3,Asien,Geschäftskunde,,,12,21,Geschäftskunde
4,Asien,Geschäftskunde,,,13,23,Privatkunde
5,Europa,Privatkunde,,,6,23,Privatkunde
6,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
7,Asien,Geschäftskunde,,,13,23,Privatkunde
8,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
9,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
10,Asien,Geschäftskunde,,,12,22,Geschäftskunde
11,Europa,Geschäftskunde,,,6,22,Geschäftskunde
12,Europa,Privatkunde,,,4,23,Privatkunde
13,Europa,Geschäftskunde,,,2,21,Geschäftskunde
14,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
15,Europa,Geschäftskunde,,,5,21,Geschäftskunde
16,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
17,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
18,Europa,Privatkunde,,,2,23,Privatkunde
19,Europa,Geschäftskunde,,,4,22,Geschäftskunde
20,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
21,Europa,Geschäftskunde,,,6,22,Geschäftskunde
22,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
23,Europa,Geschäftskunde,,,3,22,Geschäftskunde
24,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
25,Europa,Geschäftskunde,,,4,21,Geschäftskunde
26,Asien,Geschäftskunde,,,12,23,Privatkunde
27,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
28,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
29,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
30,Europa,Privatkunde,,,5,23,Privatkunde
31,Europa,Geschäftskunde,,,6,21,Geschäftskunde
32,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
33,Europa,Geschäftskunde,,,3,21,Geschäftskunde
34,Europa,Privatkunde,,,3,23,Privatkunde
35,Europa,Privatkunde,,,2,23,Privatkunde
36,Europa,Privatkunde,,,4,23,Privatkunde
37,Europa,Geschäftskunde,,,2,21,Geschäftskunde
38,Asien,Geschäftskunde,,,13,22,Geschäftskunde
39,Asien,Geschäftskunde,,,13,21,Geschäftskunde
40,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
