Datum,Zeitstempel,Produkt-ID,Produkt-Typ
8/1/2022,15:20:53,34,B
8/1/2022,16:11:53,110,C
8/1/2022,15:38:34,141,D
8/1/2022,7:57:24,156,C
8/1/2022,21:36:21,224,C
8/1/2022,10:19:57,259,D
8/1/2022,16:51:55,279,B
8/1/2022,9:56:40,336,B
8/1/2022,15:30:12,360,A
8/1/2022,19:57:43,376,C
8/1/2022,8:30:41,379,D
8/1/2022,7:35:16,394,B
8/1/2022,22:30:29,422,D
8/1/2022,11:09:06,440,D
8/1/2022,7:55:55,441,B
8/1/2022,8:16:39,446,A
8/1/2022,22:44:48,449,C
8/1/2022,2:21:19,483,C
8/1/2022,12:57:36,621,C
8/1/2022,21:40:04,630,A
8/1/2022,1:08:39,665,A
8/1/2022,18:04:58,674,A
8/1/2022,7:32:07,683,C
8/1/2022,14:05:14,689,D
8/1/2022,20:23:22,798,D
8/1/2022,14:34:22,845,B
8/1/2022,0:27:48,882,C
8/1/2022,2:00:44,916,C
8/1/2022,20:13:29,935,C
8/1/2022,9:42:06,948,C
8/1/2022,13:32:00,972,C
8/1/2022,16:21:32,1056,D
8/1/2022,10:38:11,1059,D
8/1/2022,0:08:55,1092,A
8/1/2022,3:35:26,1109,D
8/1/2022,20:54:15,1111,D
8/1/2022,21:20:04,1205,D
8/1/2022,5:18:18,1255,D
8/1/2022,1:30:06,1293,D
8/1/2022,22:22:05,1346,D
8/1/2022,13:40:45,1350,C
8/1/2022,7:33:46,1374,A
8/1/2022,15:08:58,1375,C
8/1/2022,9:45:05,1434,A
8/1/2022,2:39:59,1494,A
8/1/2022,6:16:58,1584,D
8/1/2022,16:24:46,1614,D
8/1/2022,0:27:36,1631,B
8/1/2022,6:38:04,1707,B
8/1/2022,5:14:47,1759,A
8/1/2022,23:27:42,1837,D
8/1/2022,17:56:27,1851,C
8/1/2022,12:19:55,1884,D
8/1/2022,0:39:47,1929,B
8/1/2022,22:25:48,2030,A
8/1/2022,6:11:51,2056,D
8/1/2022,1:14:10,2083,C
8/1/2022,3:28:40,2107,D
8/1/2022,20:24:39,2138,A
8/1/2022,10:38:54,2155,B
8/1/2022,16:22:10,2179,D
8/1/2022,16:03:49,2255,D
8/1/2022,19:19:33,2285,C
8/1/2022,13:05:19,2424,C
8/1/2022,20:43:40,2438,C
8/1/2022,20:33:43,2442,D
8/1/2022,21:38:40,2455,B
8/1/2022,0:55:06,2486,D
8/1/2022,13:58:10,2552,B
8/1/2022,16:03:12,2566,A
8/1/2022,6:38:42,2654,D
8/1/2022,19:12:14,2723,B
8/1/2022,7:39:22,2752,B
8/1/2022,4:28:03,2763,D
8/1/2022,15:48:14,2789,B
8/1/2022,9:16:19,2797,C
8/1/2022,2:20:14,2861,C
8/1/2022,21:38:49,2862,C
8/1/2022,19:02:00,2925,A
8/1/2022,17:08:54,2928,C
8/1/2022,11:12:08,2963,B
8/1/2022,19:55:04,2971,A
8/1/2022,22:01:09,2980,A
8/1/2022,7:51:12,2997,C
8/1/2022,14:13:26,3014,B
8/1/2022,0:11:45,3064,C
8/1/2022,17:59:00,3125,D
8/1/2022,8:48:48,3138,B
8/1/2022,13:19:59,3144,A
8/1/2022,18:25:03,3245,C
8/1/2022,19:00:49,3293,D
8/1/2022,4:11:12,3338,A
8/1/2022,6:59:29,3343,D
8/1/2022,0:59:48,3428,A
8/1/2022,8:13:53,3461,A
8/1/2022,14:28:55,3512,B
8/1/2022,11:27:46,3627,C
8/1/2022,14:43:21,3630,D
8/1/2022,9:17:04,3637,A
8/1/2022,9:34:45,3658,B
8/1/2022,2:28:58,3666,B
8/1/2022,7:20:47,3677,D
8/1/2022,8:55:35,3678,D
8/1/2022,18:41:18,3700,D
8/1/2022,20:40:45,3719,D
8/1/2022,6:11:27,3783,C
8/1/2022,11:09:30,3790,D
8/1/2022,5:57:13,3794,D
8/1/2022,0:09:10,3807,B
8/1/2022,10:29:03,3815,C
8/1/2022,11:52:10,3856,C
8/1/2022,3:19:25,3874,B
8/1/2022,7:59:06,3903,A
8/1/2022,5:44:16,3910,D
8/1/2022,10:23:00,3924,C
8/1/2022,13:23:52,4006,C
8/1/2022,4:21:43,4015,D
8/1/2022,3:40:15,4072,A
8/1/2022,16:25:12,4167,A
8/1/2022,23:03:49,4205,A
8/1/2022,18:47:56,4216,C
8/1/2022,15:48:42,4240,D
8/1/2022,17:11:32,4244,A
8/1/2022,0:29:00,4247,B
